SOCCode	Element_ID	Element_Name	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	2.C.1.c	Economics and Accounting	30.237381738		All occ	70746.251688	2	All occupations	5	0
00-0000	2.C.1.c	Economics and Accounting	19.944942904		All occ	64410.002868	3	All occupations	5	0
00-0000	2.C.1.d	Sales and Marketing	45.803882616		All occ	19444.347547	0	All occupations	1	0
00-0000	2.C.1.d	Sales and Marketing	35.40312631		All occ	20585.802734	1	All occupations	1	0
00-0000	2.C.1.d	Sales and Marketing	26.78657729		All occ	23082.195158	2	All occupations	1	0
00-0000	2.C.1.d	Sales and Marketing	13.595328956		All occ	23497.691039	3	All occupations	1	0
00-0000	2.C.1.d	Sales and Marketing	58.649478991		All occ	28091.212586	0	All occupations	2	0
00-0000	2.C.1.d	Sales and Marketing	32.283734007		All occ	31581.185022	1	All occupations	2	0
00-0000	2.C.1.d	Sales and Marketing	22.241057466		All occ	30814.539316	2	All occupations	2	0
00-0000	2.C.1.d	Sales and Marketing	15.384500321		All occ	27608.021438	3	All occupations	2	0
00-0000	2.C.1.d	Sales and Marketing	56.311783977		All occ	47630.177651	0	All occupations	3	0
00-0000	2.C.1.d	Sales and Marketing	40.119523701		All occ	41835.209035	1	All occupations	3	0
00-0000	2.C.1.d	Sales and Marketing	25.509388311		All occ	40247.97083	2	All occupations	3	0
00-0000	2.C.1.d	Sales and Marketing	14.428304784		All occ	42749.326082	3	All occupations	3	0
00-0000	2.C.1.d	Sales and Marketing	68.527685817		All occ	73114.820719	0	All occupations	4	0
00-0000	2.C.1.d	Sales and Marketing	46.668106279		All occ	74564.64688	1	All occupations	4	0
00-0000	2.C.1.d	Sales and Marketing	35.166082838		All occ	74310.154844	2	All occupations	4	0
00-0000	2.C.1.d	Sales and Marketing	23.681882386		All occ	64908.249612	3	All occupations	4	0
00-0000	2.C.1.d	Sales and Marketing	55.115643866		All occ	104388.90385	0	All occupations	5	0
00-0000	2.C.1.d	Sales and Marketing	42.023828666		All occ	90202.086783	1	All occupations	5	0
00-0000	2.C.1.d	Sales and Marketing	32.733618963		All occ	84941.41406	2	All occupations	5	0
00-0000	2.C.1.d	Sales and Marketing	22.66858523		All occ	67722.251374	3	All occupations	5	0
00-0000	2.C.1.e	Customer and Personal Service	67.676481609		All occ	19441.979383	0	All occupations	1	0
00-0000	2.C.1.e	Customer and Personal Service	55.675481245		All occ	22032.004091	1	All occupations	1	0
00-0000	2.C.1.e	Customer and Personal Service	43.761464422		All occ	21536.443428	2	All occupations	1	0
00-0000	2.C.1.e	Customer and Personal Service	29.690794381		All occ	22815.775027	3	All occupations	1	0
00-0000	2.C.1.e	Customer and Personal Service	74.877688975		All occ	27484.286743	0	All occupations	2	0
00-0000	2.C.1.e	Customer and Personal Service	62.657807266		All occ	30809.520561	1	All occupations	2	0
00-0000	2.C.1.e	Customer and Personal Service	47.687767049		All occ	31376.4109	2	All occupations	2	0
00-0000	2.C.1.e	Customer and Personal Service	31.588194965		All occ	28452.764295	3	All occupations	2	0
00-0000	2.C.1.e	Customer and Personal Service	83.486824395		All occ	41996.954084	0	All occupations	3	0
00-0000	2.C.1.e	Customer and Personal Service	72.89052759		All occ	44729.892745	1	All occupations	3	0
00-0000	2.C.1.e	Customer and Personal Service	59.111124095		All occ	39810.431248	2	All occupations	3	0
00-0000	2.C.1.e	Customer and Personal Service	40.559256339		All occ	44371.500036	3	All occupations	3	0
00-0000	2.C.1.e	Customer and Personal Service	78.661670344		All occ	72885.588921	0	All occupations	4	0
00-0000	2.C.1.e	Customer and Personal Service	69.640822136		All occ	67375.281358	1	All occupations	4	0
00-0000	2.C.1.e	Customer and Personal Service	60.332176169		All occ	67409.891784	2	All occupations	4	0
00-0000	2.C.1.e	Customer and Personal Service	47.411441474		All occ	79938.45189	3	All occupations	4	0
00-0000	2.C.1.e	Customer and Personal Service	82.458152012		All occ	83282.7844	0	All occupations	5	0
00-0000	2.C.1.e	Customer and Personal Service	73.658157723		All occ	95437.393159	1	All occupations	5	0
00-0000	2.C.1.e	Customer and Personal Service	58.284501406		All occ	98248.527392	2	All occupations	5	0
00-0000	2.C.1.e	Customer and Personal Service	44.745393846		All occ	76922.467009	3	All occupations	5	0
00-0000	2.C.1.f	Personnel and Human Resources	37.29132365		All occ	20369.201323	0	All occupations	1	0
00-0000	2.C.1.f	Personnel and Human Resources	31.971442359		All occ	20282.848438	1	All occupations	1	0
00-0000	2.C.1.f	Personnel and Human Resources	24.892913368		All occ	20070.570159	2	All occupations	1	0
00-0000	2.C.1.f	Personnel and Human Resources	18.439881557		All occ	22229.509923	3	All occupations	1	0
00-0000	2.C.1.f	Personnel and Human Resources	42.843553272		All occ	30861.668962	0	All occupations	2	0
00-0000	2.C.1.f	Personnel and Human Resources	34.10760451		All occ	30503.495927	1	All occupations	2	0
00-0000	2.C.1.f	Personnel and Human Resources	26.96405084		All occ	29099.651639	2	All occupations	2	0
00-0000	2.C.1.f	Personnel and Human Resources	19.617178064		All occ	27119.712575	3	All occupations	2	0
00-0000	2.C.1.f	Personnel and Human Resources	50.530522496		All occ	49094.524709	0	All occupations	3	0
00-0000	2.C.1.f	Personnel and Human Resources	37.498957856		All occ	38641.621032	1	All occupations	3	0
00-0000	2.C.1.f	Personnel and Human Resources	30.911975109		All occ	43183.157921	2	All occupations	3	0
00-0000	2.C.1.f	Personnel and Human Resources	22.603776271		All occ	36272.316955	3	All occupations	3	0
00-0000	2.C.1.f	Personnel and Human Resources	66.29721766		All occ	86087.895071	0	All occupations	4	0
00-0000	2.C.1.f	Personnel and Human Resources	49.042624953		All occ	65778.92014	1	All occupations	4	0
00-0000	2.C.1.f	Personnel and Human Resources	40.775659715		All occ	65313.249531	2	All occupations	4	0
00-0000	2.C.1.f	Personnel and Human Resources	28.050955079		All occ	66675.825689	3	All occupations	4	0
00-0000	2.C.1.f	Personnel and Human Resources	62.464791362		All occ	106691.67727	0	All occupations	5	0
00-0000	2.C.1.f	Personnel and Human Resources	50.054403001		All occ	91544.478416	1	All occupations	5	0
00-0000	2.C.1.f	Personnel and Human Resources	44.206146091		All occ	74966.449263	2	All occupations	5	0
00-0000	2.C.1.f	Personnel and Human Resources	36.350992788		All occ	74604.760777	3	All occupations	5	0
00-0000	2.C.10	Transportation	53.281372854		All occ	30525.507114	0	All occupations	1	0
00-0000	2.C.10	Transportation	31.785191313		All occ	20039.874484	1	All occupations	1	0
00-0000	2.C.10	Transportation	25.648799441		All occ	20331.880424	2	All occupations	1	0
00-0000	2.C.10	Transportation	20.816282291		All occ	19856.194069	3	All occupations	1	0
00-0000	2.C.10	Transportation	59.147813817		All occ	35681.488819	0	All occupations	2	0
00-0000	2.C.10	Transportation	37.420703091		All occ	26862.256588	1	All occupations	2	0
00-0000	2.C.10	Transportation	27.340335683		All occ	28476.841454	2	All occupations	2	0
00-0000	2.C.10	Transportation	17.335126251		All occ	28948.023204	3	All occupations	2	0
00-0000	2.C.10	Transportation	51.100028084		All occ	53636.921006	0	All occupations	3	0
00-0000	2.C.10	Transportation	34.523536927		All occ	40364.279483	1	All occupations	3	0
00-0000	2.C.10	Transportation	26.12895269		All occ	41070.750847	2	All occupations	3	0
00-0000	2.C.10	Transportation	16.660061734		All occ	38961.439819	3	All occupations	3	0
00-0000	2.C.10	Transportation	44.470514943		All occ	82950.781824	0	All occupations	4	0
00-0000	2.C.10	Transportation	33.796753776		All occ	58060.658475	1	All occupations	4	0
00-0000	2.C.10	Transportation	24.838138852		All occ	72765.567505	2	All occupations	4	0
00-0000	2.C.10	Transportation	15.27236192		All occ	68869.287102	3	All occupations	4	0
00-0000	2.C.10	Transportation	37.911228769		All occ	89224.05673	0	All occupations	5	0
00-0000	2.C.10	Transportation	26.712381838		All occ	75450.021395	1	All occupations	5	0
00-0000	2.C.10	Transportation	21.230412284		All occ	92560.13095	2	All occupations	5	0
00-0000	2.C.10	Transportation	15.267868035		All occ	98494.322268	3	All occupations	5	0
00-0000	2.C.2.a	Production and Processing	56.578998968		All occ	23239.048111	0	All occupations	1	0
00-0000	2.C.2.a	Production and Processing	41.890567862		All occ	22640.144143	1	All occupations	1	0
00-0000	2.C.2.a	Production and Processing	35.261408804		All occ	19862.131024	2	All occupations	1	0
00-0000	2.C.2.a	Production and Processing	22.224867837		All occ	19780.399538	3	All occupations	1	0
00-0000	2.C.2.a	Production and Processing	64.465052838		All occ	36424.124341	0	All occupations	2	0
