SOCCode	Element_ID	Element_Name	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
23-1021	2.C.7.c	Fine Arts	9.2828563994	14590	Legal	90600	3	Administrative Law Judges, Adjudicators, and Hearing Officers	5	1
23-1021	2.C.7.d	History and Archeology	19.493588401	14590	Legal	90600	2	Administrative Law Judges, Adjudicators, and Hearing Officers	5	1
23-1021	2.C.7.e	Philosophy and Theology	36.491485694	14590	Legal	90600	2	Administrative Law Judges, Adjudicators, and Hearing Officers	5	1
23-1021	2.C.8.a	Public Safety and Security	40.989198394	14590	Legal	90600	1	Administrative Law Judges, Adjudicators, and Hearing Officers	5	1
23-1021	2.C.8.b	Law and Government	85.326265612	14590	Legal	90600	0	Administrative Law Judges, Adjudicators, and Hearing Officers	5	1
23-1021	2.C.9.a	Telecommunications	28.910206161	14590	Legal	90600	1	Administrative Law Judges, Adjudicators, and Hearing Officers	5	1
23-1021	2.C.9.b	Communications and Media	37.469986452	14590	Legal	90600	3	Administrative Law Judges, Adjudicators, and Hearing Officers	5	1
23-1022	2.C.1.a	Administration and Management	46.743371927	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.1.b	Clerical	51.527524736	6380	Legal	58020	2	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.1.c	Economics and Accounting	39.731240301	6380	Legal	58020	1	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.1.d	Sales and Marketing	40.047828593	6380	Legal	58020	1	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.1.e	Customer and Personal Service	58.681221459	6380	Legal	58020	2	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.1.f	Personnel and Human Resources	51.720124821	6380	Legal	58020	1	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.10	Transportation	19.735391909	6380	Legal	58020	2	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.2.a	Production and Processing	23.006831157	6380	Legal	58020	2	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.2.b	Food Production	8.3529293719	6380	Legal	58020	2	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.3.a	Computers and Electronics	39.89127905	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.3.b	Engineering and Technology	8.9042526529	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.3.c	Design	14.521905036	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.3.d	Building and Construction	12.610653406	6380	Legal	58020	2	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.3.e	Mechanical	9.7541202653	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.4.a	Mathematics	42.555175954	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.4.b	Physics	5.7990148211	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.4.c	Chemistry	5.7990148211	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.4.d	Biology	9.2427575173	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.4.e	Psychology	70.56344773	6380	Legal	58020	1	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.4.f	Sociology and Anthropology	55.428462179	6380	Legal	58020	1	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.4.g	Geography	23.760711285	6380	Legal	58020	2	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.5.a	Medicine and Dentistry	14.267845879	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.5.b	Therapy and Counseling	45.333054135	6380	Legal	58020	1	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.6	Education and Training	46.523725908	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.7.a	English Language	75.029136161	6380	Legal	58020	2	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.7.b	Foreign Language	12.817399005	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.7.c	Fine Arts	8.9042526529	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.7.d	History and Archeology	21.957100141	6380	Legal	58020	2	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.7.e	Philosophy and Theology	40.034627505	6380	Legal	58020	2	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.8.a	Public Safety and Security	26.076809758	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.8.b	Law and Government	68.215833252	6380	Legal	58020	0	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.9.a	Telecommunications	14.83239679	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1022	2.C.9.b	Communications and Media	30.707374563	6380	Legal	58020	3	Arbitrators, Mediators, and Conciliators	5	1
23-1023	2.C.1.a	Administration and Management	62.579093447	29020	Legal	126930	0	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.1.b	Clerical	54.55822555	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.1.c	Economics and Accounting	36.817308683	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.1.d	Sales and Marketing	20.346989452	29020	Legal	126930	3	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.1.e	Customer and Personal Service	65.385451535	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.1.f	Personnel and Human Resources	51.02380532	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.10	Transportation	26.362852517	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.2.a	Production and Processing	19.198958898	29020	Legal	126930	2	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.2.b	Food Production	7.819390069	29020	Legal	126930	2	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.3.a	Computers and Electronics	54.808237097	29020	Legal	126930	2	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.3.b	Engineering and Technology	23.682422147	29020	Legal	126930	2	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.3.c	Design	18.250636274	29020	Legal	126930	2	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.3.d	Building and Construction	23.489207823	29020	Legal	126930	0	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.3.e	Mechanical	24.435337084	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.4.a	Mathematics	42.447614397	29020	Legal	126930	3	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.4.b	Physics	18.507141625	29020	Legal	126930	2	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.4.c	Chemistry	18.367673751	29020	Legal	126930	2	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.4.d	Biology	20.182029279	29020	Legal	126930	3	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.4.e	Psychology	73.984555342	29020	Legal	126930	0	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.4.f	Sociology and Anthropology	57.769988452	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.4.g	Geography	31.515075936	29020	Legal	126930	2	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.5.a	Medicine and Dentistry	36.595083007	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.5.b	Therapy and Counseling	55.793753722	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.6	Education and Training	52.087015451	29020	Legal	126930	3	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.7.a	English Language	82.273064053	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.7.b	Foreign Language	13.33416667	29020	Legal	126930	3	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.7.c	Fine Arts	12.317234874	29020	Legal	126930	2	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.7.d	History and Archeology	37.986463841	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.7.e	Philosophy and Theology	50.91729903	29020	Legal	126930	1	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.8.a	Public Safety and Security	66.064902581	29020	Legal	126930	0	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.8.b	Law and Government	91.591950958	29020	Legal	126930	0	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.9.a	Telecommunications	26.373146373	29020	Legal	126930	2	Judges, Magistrate Judges, and Magistrates	5	1
23-1023	2.C.9.b	Communications and Media	40.892890702	29020	Legal	126930	3	Judges, Magistrate Judges, and Magistrates	5	1
23-2011	2.C.1.a	Administration and Management	42.414619983	271930	Legal	48810	2	Paralegals and Legal Assistants	3	1
23-2011	2.C.1.b	Clerical	79.778624128	271930	Legal	48810	0	Paralegals and Legal Assistants	3	1
23-2011	2.C.1.c	Economics and Accounting	27.05021755	271930	Legal	48810	1	Paralegals and Legal Assistants	3	1
23-2011	2.C.1.d	Sales and Marketing	7.6922967728	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.1.e	Customer and Personal Service	54.220975062	271930	Legal	48810	2	Paralegals and Legal Assistants	3	1
23-2011	2.C.1.f	Personnel and Human Resources	29.486074294	271930	Legal	48810	2	Paralegals and Legal Assistants	3	1
23-2011	2.C.10	Transportation	16.852299148	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.2.a	Production and Processing	13.076696868	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.2.b	Food Production	0	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.3.a	Computers and Electronics	60.647457461	271930	Legal	48810	1	Paralegals and Legal Assistants	3	1
23-2011	2.C.3.b	Engineering and Technology	6.9897885651	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.3.c	Design	8.3904707805	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.3.d	Building and Construction	7.1554174633	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.3.e	Mechanical	12.575486289	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.4.a	Mathematics	45.519225565	271930	Legal	48810	2	Paralegals and Legal Assistants	3	1
23-2011	2.C.4.b	Physics	7.3094851494	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.4.c	Chemistry	9.7979591867	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.4.d	Biology	8.9952365344	271930	Legal	48810	2	Paralegals and Legal Assistants	3	1
23-2011	2.C.4.e	Psychology	38.082616941	271930	Legal	48810	1	Paralegals and Legal Assistants	3	1
23-2011	2.C.4.f	Sociology and Anthropology	15.141239549	271930	Legal	48810	2	Paralegals and Legal Assistants	3	1
23-2011	2.C.4.g	Geography	19.52580678	271930	Legal	48810	2	Paralegals and Legal Assistants	3	1
23-2011	2.C.5.a	Medicine and Dentistry	30.952497711	271930	Legal	48810	1	Paralegals and Legal Assistants	3	1
23-2011	2.C.5.b	Therapy and Counseling	30.256521674	271930	Legal	48810	1	Paralegals and Legal Assistants	3	1
23-2011	2.C.6	Education and Training	42.430446952	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.7.a	English Language	80.920595442	271930	Legal	48810	0	Paralegals and Legal Assistants	3	1
23-2011	2.C.7.b	Foreign Language	28.233718552	271930	Legal	48810	0	Paralegals and Legal Assistants	3	1
23-2011	2.C.7.c	Fine Arts	0	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.7.d	History and Archeology	7.9642057477	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.7.e	Philosophy and Theology	13.071233035	271930	Legal	48810	2	Paralegals and Legal Assistants	3	1
23-2011	2.C.8.a	Public Safety and Security	24.421886825	271930	Legal	48810	3	Paralegals and Legal Assistants	3	1
23-2011	2.C.8.b	Law and Government	77.23803541	271930	Legal	48810	0	Paralegals and Legal Assistants	3	1
23-2011	2.C.9.a	Telecommunications	24.516466812	271930	Legal	48810	2	Paralegals and Legal Assistants	3	1
23-2011	2.C.9.b	Communications and Media	41.835050643	271930	Legal	48810	1	Paralegals and Legal Assistants	3	1
23-2091	2.C.1.a	Administration and Management	33.005194931	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.1.b	Clerical	85.463442982	17670	Legal	49500	0	Court Reporters	3	1
23-2091	2.C.1.c	Economics and Accounting	24.564783146	17670	Legal	49500	2	Court Reporters	3	1
23-2091	2.C.1.d	Sales and Marketing	21.295874599	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.1.e	Customer and Personal Service	59.659270157	17670	Legal	49500	2	Court Reporters	3	1
23-2091	2.C.1.f	Personnel and Human Resources	14.803473895	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.10	Transportation	10.136215022	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.2.a	Production and Processing	31.257455505	17670	Legal	49500	2	Court Reporters	3	1
23-2091	2.C.2.b	Food Production	2.9423022588	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.3.a	Computers and Electronics	72.470684905	17670	Legal	49500	0	Court Reporters	3	1
23-2091	2.C.3.b	Engineering and Technology	15.947234159	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.3.c	Design	7.2427305275	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.3.d	Building and Construction	6.1411957866	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.3.e	Mechanical	13.89758407	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.4.a	Mathematics	22.613523371	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.4.b	Physics	6.3041936545	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.4.c	Chemistry	5.2208373341	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.4.d	Biology	4.8755950579	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.4.e	Psychology	21.563857832	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.4.f	Sociology and Anthropology	14.755144564	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.4.g	Geography	19.319863828	17670	Legal	49500	2	Court Reporters	3	1
23-2091	2.C.5.a	Medicine and Dentistry	10.18402146	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.5.b	Therapy and Counseling	8.6172584904	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.6	Education and Training	25.852328237	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.7.a	English Language	84.215711706	17670	Legal	49500	0	Court Reporters	3	1
23-2091	2.C.7.b	Foreign Language	11.677817703	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.7.c	Fine Arts	3.4142557576	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.7.d	History and Archeology	9.2024839102	17670	Legal	49500	2	Court Reporters	3	1
23-2091	2.C.7.e	Philosophy and Theology	9.6761856296	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.8.a	Public Safety and Security	16.409927278	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.8.b	Law and Government	59.775772886	17670	Legal	49500	0	Court Reporters	3	1
23-2091	2.C.9.a	Telecommunications	16.18111773	17670	Legal	49500	3	Court Reporters	3	1
23-2091	2.C.9.b	Communications and Media	18.985708601	17670	Legal	49500	3	Court Reporters	3	1
23-2093	2.C.1.a	Administration and Management	49.273289675	54620	Legal	44370	1	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.1.b	Clerical	79.018986167	54620	Legal	44370	0	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.1.c	Economics and Accounting	27.307769782	54620	Legal	44370	1	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.1.d	Sales and Marketing	31.259284684	54620	Legal	44370	1	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.1.e	Customer and Personal Service	72.594766928	54620	Legal	44370	1	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.1.f	Personnel and Human Resources	29.371998459	54620	Legal	44370	2	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.10	Transportation	21.908902055	54620	Legal	44370	2	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.2.a	Production and Processing	23.26493365	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.2.b	Food Production	0	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.3.a	Computers and Electronics	52.629161005	54620	Legal	44370	2	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.3.b	Engineering and Technology	8.9170785386	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.3.c	Design	28.374032379	54620	Legal	44370	2	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.3.d	Building and Construction	8.9170785386	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.3.e	Mechanical	3.8172540544	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.4.a	Mathematics	39.839678969	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.4.b	Physics	0	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.4.c	Chemistry	0	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.4.d	Biology	0	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.4.e	Psychology	10.30949656	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.4.f	Sociology and Anthropology	4.852098099	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.4.g	Geography	55.162098419	54620	Legal	44370	0	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.5.a	Medicine and Dentistry	0	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.5.b	Therapy and Counseling	2.9423022588	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.6	Education and Training	38.339833552	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.7.a	English Language	66.975902352	54620	Legal	44370	0	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.7.b	Foreign Language	8.0374126618	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.7.c	Fine Arts	0	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.7.d	History and Archeology	27.609522871	54620	Legal	44370	0	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.7.e	Philosophy and Theology	2.4023797343	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.8.a	Public Safety and Security	25.7060301	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.8.b	Law and Government	67.924960281	54620	Legal	44370	0	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.9.a	Telecommunications	16.320013865	54620	Legal	44370	3	Title Examiners, Abstractors, and Searchers	3	1
23-2093	2.C.9.b	Communications and Media	39.917414929	54620	Legal	44370	1	Title Examiners, Abstractors, and Searchers	3	1
25-0000	2.C.1.a	Administration and Management	51.387360187	8542670	Education, training, and library	47220	1	Education, training, and library		2
25-0000	2.C.1.b	Clerical	53.774871358	8542670	Education, training, and library	47220	1	Education, training, and library		2
25-0000	2.C.1.c	Economics and Accounting	28.862785541	8542670	Education, training, and library	47220	2	Education, training, and library		2
25-0000	2.C.1.d	Sales and Marketing	31.823817298	8542670	Education, training, and library	47220	2	Education, training, and library		2
25-0000	2.C.1.e	Customer and Personal Service	60.162056781	8542670	Education, training, and library	47220	2	Education, training, and library		2
25-0000	2.C.1.f	Personnel and Human Resources	43.172901697	8542670	Education, training, and library	47220	1	Education, training, and library		2
25-0000	2.C.10	Transportation	25.770458707	8542670	Education, training, and library	47220	2	Education, training, and library		2
25-0000	2.C.2.a	Production and Processing	23.702518695	8542670	Education, training, and library	47220	3	Education, training, and library		2
25-0000	2.C.2.b	Food Production	12.89924687	8542670	Education, training, and library	47220	1	Education, training, and library		2
25-0000	2.C.3.a	Computers and Electronics	62.650643756	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.3.b	Engineering and Technology	28.758692869	8542670	Education, training, and library	47220	2	Education, training, and library		2
25-0000	2.C.3.c	Design	30.14250362	8542670	Education, training, and library	47220	1	Education, training, and library		2
25-0000	2.C.3.d	Building and Construction	16.124787363	8542670	Education, training, and library	47220	2	Education, training, and library		2
25-0000	2.C.3.e	Mechanical	23.340565076	8542670	Education, training, and library	47220	2	Education, training, and library		2
25-0000	2.C.4.a	Mathematics	58.5507398	8542670	Education, training, and library	47220	1	Education, training, and library		2
25-0000	2.C.4.b	Physics	28.189252603	8542670	Education, training, and library	47220	1	Education, training, and library		2
25-0000	2.C.4.c	Chemistry	31.489377974	8542670	Education, training, and library	47220	1	Education, training, and library		2
25-0000	2.C.4.d	Biology	36.185016054	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.4.e	Psychology	56.506622907	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.4.f	Sociology and Anthropology	53.787327878	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.4.g	Geography	45.411718601	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.5.a	Medicine and Dentistry	24.723585486	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.5.b	Therapy and Counseling	40.712816768	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.6	Education and Training	82.884168688	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.7.a	English Language	81.164747036	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.7.b	Foreign Language	31.899742111	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.7.c	Fine Arts	29.689253777	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.7.d	History and Archeology	46.714525097	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.7.e	Philosophy and Theology	46.890332456	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-0000	2.C.8.a	Public Safety and Security	39.334292055	8542670	Education, training, and library	47220	2	Education, training, and library		2
25-0000	2.C.8.b	Law and Government	45.585596214	8542670	Education, training, and library	47220	1	Education, training, and library		2
25-0000	2.C.9.a	Telecommunications	29.305766515	8542670	Education, training, and library	47220	1	Education, training, and library		2
25-0000	2.C.9.b	Communications and Media	55.151539924	8542670	Education, training, and library	47220	0	Education, training, and library		2
25-1011	2.C.1.a	Administration and Management	70.547855303	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.1.b	Clerical	54.680368773	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.1.c	Economics and Accounting	66.812745383	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.1.d	Sales and Marketing	70.414283342	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.1.e	Customer and Personal Service	71.129658668	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.1.f	Personnel and Human Resources	66.102086487	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.10	Transportation	41.240411114	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.2.a	Production and Processing	41.772853559	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.2.b	Food Production	11.556074347	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.3.a	Computers and Electronics	64.705928667	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.3.b	Engineering and Technology	25.442933176	84890	Education, training, and library	75370	2	Business Teachers, Postsecondary	5	1
25-1011	2.C.3.c	Design	28.78392382	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.3.d	Building and Construction	18.782970901	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.3.e	Mechanical	12.955969374	84890	Education, training, and library	75370	3	Business Teachers, Postsecondary	5	1
25-1011	2.C.4.a	Mathematics	69.06808222	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.4.b	Physics	17.081318196	84890	Education, training, and library	75370	2	Business Teachers, Postsecondary	5	1
25-1011	2.C.4.c	Chemistry	18.514087098	84890	Education, training, and library	75370	2	Business Teachers, Postsecondary	5	1
25-1011	2.C.4.d	Biology	21.458265232	84890	Education, training, and library	75370	3	Business Teachers, Postsecondary	5	1
25-1011	2.C.4.e	Psychology	68.648794561	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.4.f	Sociology and Anthropology	68.261261685	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.4.g	Geography	48.810127156	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.5.a	Medicine and Dentistry	21.526063961	84890	Education, training, and library	75370	2	Business Teachers, Postsecondary	5	1
25-1011	2.C.5.b	Therapy and Counseling	40.0998749	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.6	Education and Training	93.588766439	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.7.a	English Language	89.378807147	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.7.b	Foreign Language	34.467375263	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.7.c	Fine Arts	25.133927117	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.7.d	History and Archeology	40.958514773	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.7.e	Philosophy and Theology	49.739895133	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.8.a	Public Safety and Security	33.370645175	84890	Education, training, and library	75370	2	Business Teachers, Postsecondary	5	1
25-1011	2.C.8.b	Law and Government	55.565661818	84890	Education, training, and library	75370	1	Business Teachers, Postsecondary	5	1
25-1011	2.C.9.a	Telecommunications	41.95099004	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1011	2.C.9.b	Communications and Media	70.921687603	84890	Education, training, and library	75370	0	Business Teachers, Postsecondary	5	1
25-1021	2.C.1.a	Administration and Management	49.941680344	33760	Education, training, and library	74840	2	Computer Science Teachers, Postsecondary	5	1
25-1021	2.C.1.b	Clerical	54.918119477	33760	Education, training, and library	74840	1	Computer Science Teachers, Postsecondary	5	1
25-1021	2.C.1.c	Economics and Accounting	19.682479865	33760	Education, training, and library	74840	3	Computer Science Teachers, Postsecondary	5	1
